Run ID,Waktu,Tipe Evaluasi,Faithfulness,Answer Relevancy,Context Precision,Context Recall
019fa640-f0df-78c2-9406-e54b68aab2ee,2026-07-28 01:05:01,ragas evaluation,,0.9999999999999999,,1.0
019fa60b-e53f-77c2-8641-f0f01914be19,2026-07-28 00:07:05,ragas evaluation,,0.9999999999999999,0.999999999975,0.5
019fa4b7-9aaa-7580-8c83-eebc4a5d2077,2026-07-27 17:55:23,ragas evaluation,,0.9999999999999999,0.0,0.5
019fa4b2-c20c-7a50-937a-9852cded3b98,2026-07-27 17:50:06,ragas evaluation,,,,
019fa4b1-f761-7bf1-afee-ad04e3d8b491,2026-07-27 17:49:14,ragas evaluation,,,,
019fa4ae-e147-7fb0-bb28-83a589f9cacd,2026-07-27 17:45:52,ragas evaluation,,,,
019fa446-a2a6-71d1-a6b3-e7210517ee64,2026-07-27 15:52:00,ragas evaluation,0.0,0.5001879157083603,0.0,0.0
019fa437-cd47-7a30-8b5d-6c2aa298f777,2026-07-27 15:35:48,ragas evaluation,,,,
019fa437-6f47-7ba0-b173-bbbb74fe5aa3,2026-07-27 15:35:24,ragas evaluation,,,,
019fa435-8680-7541-baf1-f6b8ee7a799c,2026-07-27 15:33:19,ragas evaluation,,,,
019fa433-c638-7930-83ad-bbe075a31ced,2026-07-27 15:31:24,ragas evaluation,,,,
019fa432-61cd-76e2-8a37-6d22fc201781,2026-07-27 15:29:53,ragas evaluation,,,,
019fa431-f458-7b83-bcc8-954253302d28,2026-07-27 15:29:25,ragas evaluation,,,,
019fa42f-e13c-7a10-be3b-17cfd205aa5e,2026-07-27 15:27:09,ragas evaluation,,,,
019fa42b-329b-73f2-b636-7d90a2c1c54e,2026-07-27 15:22:02,ragas evaluation,,0.770181896910226,,
019fa425-9186-7731-82ed-1098e8028238,2026-07-27 15:15:53,ragas evaluation,0.42105263157894735,0.9492571701287753,,
019fa41f-d86c-7301-a743-72a6d3e03614,2026-07-27 15:09:38,ragas evaluation,,,,
019fa403-b2e4-7f93-a97b-5e82ea1e30a9,2026-07-27 14:38:53,ragas evaluation,,0.49670219082407085,,
019fa3fe-5b04-78a0-b7be-87a98232b52a,2026-07-27 14:33:03,ragas evaluation,,,,
019fa3fb-7e7f-7e03-b324-a5c69a503acd,2026-07-27 14:29:55,ragas evaluation,0.4074074074074074,0.5912074921903291,,
019fa3f7-d724-70b1-b1f9-990ecd648880,2026-07-27 14:25:56,ragas evaluation,,0.8537529154152871,,
019fa3f5-b00d-7611-acfe-f50725cadb30,2026-07-27 14:23:35,ragas evaluation,,,,
019fa39b-9a51-7912-8dc3-6ac36160c721,2026-07-27 12:45:11,ragas evaluation,,0.5997339974525421,,
019fa357-2290-76c2-8353-b55cd3d07424,2026-07-27 11:30:24,ragas evaluation,0.5,0.6192931204781117,0.9999999999,0.5
019fa331-ed0e-77b1-a46b-e8607c333322,2026-07-27 10:49:45,ragas evaluation,0.5,,0.9999999999,0.0
019fa329-2309-7710-9839-b23c9fa2289f,2026-07-27 10:40:09,ragas evaluation,,0.6192931204781117,0.9999999999,0.0
019fa31c-a88e-7af0-98a5-3ea9e289399b,2026-07-27 10:26:32,ragas evaluation,,0.7407108107888338,0.9999999999,0.0
019fa313-14fe-7052-be2e-3d4e3f86a2b4,2026-07-27 10:16:04,ragas evaluation,0.5,,0.9999999999,
019fa307-683d-7eb1-a9da-30e1dde7655d,2026-07-27 10:03:19,ragas evaluation,,,0.9999999999,
019fa2ff-cd65-7153-b878-6ce839c37901,2026-07-27 09:55:01,ragas evaluation,,,,0.0
019fa2fc-6383-77f0-9690-51ba9754b9c0,2026-07-27 09:51:17,ragas evaluation,,,,
019fa2e1-f609-7ed1-add9-a70c25d0644d,2026-07-27 09:22:25,ragas evaluation,0.8125,0.871966632764917,,
019f9f07-1cf1-7d53-9260-609373570001,2026-07-26 15:24:31,ragas evaluation,,0.7739228925638233,,
019f9df7-9367-7fa3-a255-2948e5a9aa80,2026-07-26 10:27:55,ragas evaluation,0.0,0.6235310117575557,,
